calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,vitamin_a_iu,vitamin_c_mg,iron_mg,price_try,protein_calorie_ratio,carb_fiber_ratio,protein_price_ratio,meal_role_Ana Yemek,meal_role_Salata,meal_role_Tek Öğün,meal_role_Yan Yemek,meal_role_Çorba,main_ingredient_Bakliyat,main_ingredient_Balık,main_ingredient_Kırmızı Et,main_ingredient_Sebze,main_ingredient_Süt Ürünü,main_ingredient_Tahıl,main_ingredient_Tavuk
0.13188073394495414,0.10681399631675877,0.13204225352112675,0.19329388560157792,0.07924107142857142,0.004674273095325727,0.1303231201098967,0.3792408716716098,0.06845479687718069,0.01137989724527786,0.0018242928876169744,0.00876947476443698,0.07930317212688509,0.28634594977007427,0.011191428924880575,0.18230791040544372,False,False,False,False,True,False,False,False,True,False,False,False
0.22362385321100917,0.19705340699815838,0.19894366197183094,0.23668639053254437,0.005102040816326531,0.007692307692307691,0.520665352684704,0.18386442329767744,0.003227065193552705,0.0535945329573982,5.387836438014643e-05,0.0032652299654818548,0.04862194487779514,0.29554297842235583,0.2845687103895857,0.2994045931386447,False,False,False,False,True,False,False,False,False,False,False,True
0.286697247706422,0.09484346224677719,0.47183098591549294,0.3155818540433925,0.0,0.005520794994479205,0.6211053375540027,0.20465353817897286,0.004907531622675473,0.001896187217280864,1.4265147391892131e-05,0.0069036290698759216,0.053648812619171427,0.5884329678103997,0.4337851854671413,0.6921841035818921,False,False,False,False,True,False,False,False,False,False,False,True
0.28096330275229364,0.1528545119705341,0.21830985915492954,0.38284023668639056,0.02582908163265306,0.0465587044534413,0.35123136036950764,0.23956913071794367,0.030143010541366536,0.01967319005264545,4.608739926611304e-05,0.008303013340796715,0.11761137112151149,0.2697205518217191,0.059092076965532994,0.2685001417635384,False,False,False,False,True,False,False,True,False,False,False,False
0.05619266055045871,0.06261510128913446,0.04841549295774647,0.1203155818540434,0.0274234693877551,0.018218623481781375,0.016424774532640504,0.041648510745962354,0.013369676980173344,0.005644971141100502,1.294836455571747e-05,0.003638399104394067,0.109637718842087,0.16908383445348424,0.025006899111204156,0.06369908326245156,False,False,False,False,True,True,False,False,False,False,False,False
0.20642201834862386,0.0552486187845304,0.06514084507042253,0.42209072978303747,0.01913265306122449,0.003275671696724328,0.10545700690835971,0.04722413542676956,0.0739091921513673,0.000465625910199585,7.593447688607195e-05,0.0026121839723854835,0.10253076789738258,0.09533073929961089,0.033118112783815164,0.08609772233248275,False,False,False,False,True,False,False,False,True,False,False,False
0.3004587155963303,0.19337016574585636,0.18838028169014082,0.41420118343195267,0.035235969387755105,0.02167832167832168,0.2587549025463378,0.18708329233609303,0.20980196130370013,0.01221287227782214,9.217479853222608e-05,0.0049444910905868085,0.30230542555035533,0.21789883268482488,0.05405394153360105,0.1557508742084869,False,False,False,False,True,False,False,False,True,False,False,False
0.11009174311926606,0.08287292817679559,0.08274647887323944,0.1854043392504931,0.04512117346938776,0.004662004662004661,0.11750184156562941,0.1423377329228924,0.09673220485740246,0.044010564754694406,0.0009228453043524062,0.004104860528034332,0.07930317212688509,0.19950477538026176,0.018041175798869498,0.11586806540024572,False,False,False,False,True,False,False,False,True,False,False,False
0.2603211009174312,0.20810313075506448,0.39964788732394363,0.1952662721893491,0.015625,0.006956201693043798,0.465388520575763,0.1868490223915213,0.006850036884813995,0.0566625123589005,0.00022385308214969187,0.006437167646235656,0.8133125325013001,0.5371418464803678,0.12558582970138746,0.17172289953690578,False,False,False,False,True,False,False,False,False,False,False,True
0.17316513761467892,0.03591160220994476,0.4507042253521126,0.1755424063116371,0.0020727040816326528,0.02662250030671083,0.165541818471401,0.16852911272601193,0.05418222522237698,0.004605139321216494,6.123040188212161e-05,0.002239014833473272,0.4427110417750043,0.8280863105765829,0.12671050377785814,0.2966638313958983,False,False,False,False,True,False,False,False,False,False,False,True
